LAT,LON,YEAR,MO,DY,TEMPERATURE,RADIATION
9.25,76.25,2020,4,1,30.71,7.27
9.25,76.75,2020,4,1,29.62,7.27
9.25,77.25,2020,4,1,29.26,7.4
9.75,74.25,2020,4,1,29.35,6.68
9.75,74.75,2020,4,1,29.28,6.68
9.75,75.25,2020,4,1,29.23,6.6
9.75,75.75,2020,4,1,29.64,6.6
9.75,76.25,2020,4,1,31.32,7.27
9.75,76.75,2020,4,1,28.74,7.27
9.75,77.25,2020,4,1,28.08,7.4
10.25,74.25,2020,4,1,29.36,6.9
10.25,74.75,2020,4,1,29.33,6.9
10.25,75.25,2020,4,1,29.42,7.15
10.25,75.75,2020,4,1,30.03,7.15
10.25,76.25,2020,4,1,31.87,7.39
10.25,76.75,2020,4,1,29.12,7.39
10.25,77.25,2020,4,1,28.36,7.56
10.75,74.25,2020,4,1,29.38,6.9
10.75,74.75,2020,4,1,29.38,6.9
10.75,75.25,2020,4,1,29.75,7.15
10.75,75.75,2020,4,1,30.49,7.15
10.75,76.25,2020,4,1,31.29,7.39
10.75,76.75,2020,4,1,29.79,7.39
10.75,77.25,2020,4,1,29.86,7.56
11.25,74.25,2020,4,1,29.41,6.95
11.25,74.75,2020,4,1,29.51,6.95
11.25,75.25,2020,4,1,30.05,7.42
11.25,75.75,2020,4,1,30.49,7.42
11.25,76.25,2020,4,1,29.51,7.63
11.25,76.75,2020,4,1,28.7,7.63
11.25,77.25,2020,4,1,29.81,7.56
11.75,74.25,2020,4,1,29.45,6.95
11.75,74.75,2020,4,1,29.77,6.95
11.75,75.25,2020,4,1,30.12,7.42
11.75,75.75,2020,4,1,30,7.42
11.75,76.25,2020,4,1,28.63,7.63
11.75,76.75,2020,4,1,28.09,7.63
11.75,77.25,2020,4,1,28.96,7.56
12.25,74.25,2020,4,1,29.51,7.13
12.25,74.75,2020,4,1,30.14,7.13
12.25,75.25,2020,4,1,30.18,7.5
12.25,75.75,2020,4,1,29.42,7.5
12.25,76.25,2020,4,1,28.5,7.64
12.25,76.75,2020,4,1,28.77,7.64
12.25,77.25,2020,4,1,28.85,7.65
12.75,74.25,2020,4,1,29.65,7.13
12.75,74.75,2020,4,1,30.46,7.13
12.75,75.25,2020,4,1,30.25,7.5
12.75,75.75,2020,4,1,29.03,7.5
12.75,76.25,2020,4,1,28.28,7.64
12.75,76.75,2020,4,1,29,7.64
12.75,77.25,2020,4,1,28.79,7.65
8.25,74.25,2020,4,2,29.26,6.85
8.25,74.75,2020,4,2,29.43,6.85
8.25,75.25,2020,4,2,29.54,6.79
8.25,75.75,2020,4,2,29.55,6.79
8.25,76.25,2020,4,2,29.5,6.99
8.25,76.75,2020,4,2,29.91,6.99
8.25,77.25,2020,4,2,29.76,6.76
8.75,74.25,2020,4,2,29.23,6.85
8.75,74.75,2020,4,2,29.38,6.85
8.75,75.25,2020,4,2,29.58,6.79
8.75,75.75,2020,4,2,29.82,6.79
8.75,76.25,2020,4,2,30.12,6.99
8.75,76.75,2020,4,2,30.31,6.99
8.75,77.25,2020,4,2,29.98,6.76
9.25,74.25,2020,4,2,29.22,6.74
9.25,74.75,2020,4,2,29.3,6.74
9.25,75.25,2020,4,2,29.47,6.87
9.25,75.75,2020,4,2,29.91,6.87
9.25,76.25,2020,4,2,30.94,7.24
9.25,76.75,2020,4,2,29.83,7.24
9.25,77.25,2020,4,2,29.48,7.19
9.75,74.25,2020,4,2,29.26,6.74
9.75,74.75,2020,4,2,29.29,6.74
9.75,75.25,2020,4,2,29.38,6.87
9.75,75.75,2020,4,2,29.9,6.87
9.75,76.25,2020,4,2,31.58,7.24
9.75,76.75,2020,4,2,29.01,7.24
9.75,77.25,2020,4,2,28.35,7.19
10.25,74.25,2020,4,2,29.32,6.68
10.25,74.75,2020,4,2,29.32,6.68
10.25,75.25,2020,4,2,29.42,6.79
10.25,75.75,2020,4,2,30.05,6.79
10.25,76.25,2020,4,2,31.97,7.11
10.25,76.75,2020,4,2,29.47,7.11
10.25,77.25,2020,4,2,28.86,7.32
10.75,74.25,2020,4,2,29.37,6.68
10.75,74.75,2020,4,2,29.35,6.68
10.75,75.25,2020,4,2,29.6,6.79
10.75,75.75,2020,4,2,30.29,6.79
10.75,76.25,2020,4,2,31.43,7.11
10.75,76.75,2020,4,2,30.46,7.11
10.75,77.25,2020,4,2,30.71,7.32
11.25,74.25,2020,4,2,29.39,6.83
11.25,74.75,2020,4,2,29.45,6.83
11.25,75.25,2020,4,2,29.78,7.22
11.25,75.75,2020,4,2,30.14,7.22
11.25,76.25,2020,4,2,29.85,7.11
11.25,76.75,2020,4,2,29.78,7.11
11.25,77.25,2020,4,2,30.91,7.24
11.75,74.25,2020,4,2,29.42,6.83
11.75,74.75,2020,4,2,29.64,6.83
11.75,75.25,2020,4,2,29.76,7.22
11.75,75.75,2020,4,2,29.62,7.22
11.75,76.25,2020,4,2,29.14,7.11
11.75,76.75,2020,4,2,29.26,7.11
11.75,77.25,2020,4,2,30.02,7.24
12.25,74.25,2020,4,2,29.48,6.89
12.25,74.75,2020,4,2,29.84,6.89
12.25,75.25,2020,4,2,29.73,6.99
12.25,75.75,2020,4,2,29.22,6.99
12.25,76.25,2020,4,2,29.25,7.19
12.25,76.75,2020,4,2,29.88,7.19
12.25,77.25,2020,4,2,29.86,7.26
12.75,74.25,2020,4,2,29.58,6.89
12.75,74.75,2020,4,2,30,6.89
12.75,75.25,2020,4,2,29.73,6.99
12.75,75.75,2020,4,2,29,6.99
12.75,76.25,2020,4,2,29.21,7.19
12.75,76.75,2020,4,2,30.13,7.19
12.75,77.25,2020,4,2,29.82,7.26
8.25,74.25,2020,4,3,29.11,6.07
8.25,74.75,2020,4,3,29.04,6.07
8.25,75.25,2020,4,3,28.89,6.1
8.25,75.75,2020,4,3,28.71,6.1
8.25,76.25,2020,4,3,28.67,6.92
8.25,76.75,2020,4,3,29.32,6.92
8.25,77.25,2020,4,3,29.43,6.53
8.75,74.25,2020,4,3,29.15,6.07
8.75,74.75,2020,4,3,29.16,6.07
8.75,75.25,2020,4,3,29.11,6.1
8.75,75.75,2020,4,3,29.11,6.1
8.75,76.25,2020,4,3,29.42,6.92
8.75,76.75,2020,4,3,30.06,6.92
8.75,77.25,2020,4,3,30.05,6.53
9.25,74.25,2020,4,3,29.25,6.46
9.25,74.75,2020,4,3,29.27,6.46
9.25,75.25,2020,4,3,29.27,6.25
9.25,75.75,2020,4,3,29.45,6.25
9.25,76.25,2020,4,3,30.23,6.88
9.25,76.75,2020,4,3,29.85,6.88
9.25,77.25,2020,4,3,29.74,6.99
9.75,74.25,2020,4,3,29.47,6.46
9.75,74.75,2020,4,3,29.47,6.46
9.75,75.25,2020,4,3,29.45,6.25
9.75,75.75,2020,4,3,29.72,6.25
9.75,76.25,2020,4,3,30.86,6.88
9.75,76.75,2020,4,3,28.99,6.88
9.75,77.25,2020,4,3,28.59,6.99
10.25,74.25,2020,4,3,29.6,6.69
10.25,74.75,2020,4,3,29.6,6.69
10.25,75.25,2020,4,3,29.64,6.82
10.25,75.75,2020,4,3,30.06,6.82
10.25,76.25,2020,4,3,31.41,6.87
10.25,76.75,2020,4,3,29.33,6.87
10.25,77.25,2020,4,3,28.94,7.21
10.75,74.25,2020,4,3,29.52,6.69
10.75,74.75,2020,4,3,29.56,6.69
10.75,75.25,2020,4,3,29.78,6.82
10.75,75.75,2020,4,3,30.28,6.82
10.75,76.25,2020,4,3,31.09,6.87
10.75,76.75,2020,4,3,30.32,6.87
10.75,77.25,2020,4,3,30.6,7.21
11.25,74.25,2020,4,3,29.35,6.54
11.25,74.75,2020,4,3,29.51,6.54
11.25,75.25,2020,4,3,29.8,6.82
11.25,75.75,2020,4,3,30.03,6.82
11.25,76.25,2020,4,3,29.67,7.1
11.25,76.75,2020,4,3,29.59,7.1
11.25,77.25,2020,4,3,30.62,7.24
11.75,74.25,2020,4,3,29.24,6.54
11.75,74.75,2020,4,3,29.55,6.54
11.75,75.25,2020,4,3,29.72,6.82
11.75,75.75,2020,4,3,29.59,6.82
11.75,76.25,2020,4,3,29.19,7.1
11.75,76.75,2020,4,3,29.16,7.1
11.75,77.25,2020,4,3,29.75,7.24
12.25,74.25,2020,4,3,29.21,6.66
12.25,74.75,2020,4,3,29.68,6.66
12.25,75.25,2020,4,3,29.73,6.67
12.25,75.75,2020,4,3,29.44,6.67
12.25,76.25,2020,4,3,29.62,7.23
12.25,76.75,2020,4,3,29.97,7.23
12.25,77.25,2020,4,3,29.68,7.29
12.75,74.25,2020,4,3,29.32,6.66
12.75,74.75,2020,4,3,29.89,6.66
12.75,75.25,2020,4,3,29.88,6.67
12.75,75.75,2020,4,3,29.48,6.67
12.75,76.25,2020,4,3,29.89,7.23
12.75,76.75,2020,4,3,30.36,7.23
12.75,77.25,2020,4,3,29.67,7.29
8.25,74.25,2020,4,4,28.86,6.51
8.25,74.75,2020,4,4,28.83,6.51
8.25,75.25,2020,4,4,28.83,6.61
8.25,75.75,2020,4,4,28.86,6.61
8.25,76.25,2020,4,4,28.83,7.01
8.25,76.75,2020,4,4,29.49,7.01
8.25,77.25,2020,4,4,29.9,6.49
8.75,74.25,2020,4,4,28.91,6.51
8.75,74.75,2020,4,4,28.83,6.51
8.75,75.25,2020,4,4,28.81,6.61
8.75,75.75,2020,4,4,28.9,6.61
8.75,76.25,2020,4,4,29.11,7.01
8.75,76.75,2020,4,4,30.12,7.01
8.75,77.25,2020,4,4,30.55,6.49
9.25,74.25,2020,4,4,29.04,6.41
9.25,74.75,2020,4,4,28.96,6.41
9.25,75.25,2020,4,4,28.88,6.55
9.25,75.75,2020,4,4,29.02,6.55
9.25,76.25,2020,4,4,29.74,7.16
9.25,76.75,2020,4,4,29.88,7.16
9.25,77.25,2020,4,4,30.25,7.19
9.75,74.25,2020,4,4,29.18,6.41
9.75,74.75,2020,4,4,29.17,6.41
9.75,75.25,2020,4,4,29.1,6.55
9.75,75.75,2020,4,4,29.28,6.55
9.75,76.25,2020,4,4,30.31,7.16
9.75,76.75,2020,4,4,28.86,7.16
9.75,77.25,2020,4,4,28.99,7.19
10.25,74.25,2020,4,4,29.22,6.73
10.25,74.75,2020,4,4,29.28,6.73
10.25,75.25,2020,4,4,29.34,7.05
10.25,75.75,2020,4,4,29.7,7.05
10.25,76.25,2020,4,4,30.92,6.93
10.25,76.75,2020,4,4,29.17,6.93
10.25,77.25,2020,4,4,29.17,7.21
10.75,74.25,2020,4,4,29.23,6.73
10.75,74.75,2020,4,4,29.3,6.73
10.75,75.25,2020,4,4,29.54,7.05
10.75,75.75,2020,4,4,30.01,7.05
10.75,76.25,2020,4,4,30.73,6.93
10.75,76.75,2020,4,4,30.19,6.93
10.75,77.25,2020,4,4,30.56,7.21
11.25,74.25,2020,4,4,29.22,6.75
11.25,74.75,2020,4,4,29.36,6.75
11.25,75.25,2020,4,4,29.65,7.21
11.25,75.75,2020,4,4,29.87,7.21
11.25,76.25,2020,4,4,29.44,7.44
11.25,76.75,2020,4,4,29.36,7.44
11.25,77.25,2020,4,4,30.35,7.49
11.75,74.25,2020,4,4,29.23,6.75
11.75,74.75,2020,4,4,29.47,6.75
11.75,75.25,2020,4,4,29.63,7.21
11.75,75.75,2020,4,4,29.49,7.21
11.75,76.25,2020,4,4,28.96,7.44
11.75,76.75,2020,4,4,28.82,7.44
11.75,77.25,2020,4,4,29.33,7.49
12.25,74.25,2020,4,4,29.28,6.77
12.25,74.75,2020,4,4,29.67,6.77
12.25,75.25,2020,4,4,29.65,6.87
12.25,75.75,2020,4,4,29.23,6.87
12.25,76.25,2020,4,4,29.15,7.52
12.25,76.75,2020,4,4,29.45,7.52
12.25,77.25,2020,4,4,29.14,7.6
12.75,74.25,2020,4,4,29.43,6.77
12.75,74.75,2020,4,4,29.96,6.77
12.75,75.25,2020,4,4,29.84,6.87
12.75,75.75,2020,4,4,29.17,6.87
12.75,76.25,2020,4,4,29.1,7.52
12.75,76.75,2020,4,4,29.56,7.52
12.75,77.25,2020,4,4,28.99,7.6
8.25,74.25,2020,4,5,29.02,3.77
8.25,74.75,2020,4,5,29.1,3.77
8.25,75.25,2020,4,5,29.1,5.31
8.25,75.75,2020,4,5,29.01,5.31
8.25,76.25,2020,4,5,28.91,6.26
8.25,76.75,2020,4,5,29.22,6.26
8.25,77.25,2020,4,5,29.39,4.82
8.75,74.25,2020,4,5,29.03,3.77
8.75,74.75,2020,4,5,29.1,3.77
8.75,75.25,2020,4,5,29.13,5.31
8.75,75.75,2020,4,5,29.12,5.31
8.75,76.25,2020,4,5,29.16,6.26
8.75,76.75,2020,4,5,29.28,6.26
8.75,77.25,2020,4,5,29.24,4.82
9.25,74.25,2020,4,5,29.23,4.79
9.25,74.75,2020,4,5,29.21,4.79
9.25,75.25,2020,4,5,29.2,5.17
9.25,75.75,2020,4,5,29.35,5.17
9.25,76.25,2020,4,5,29.99,5.39
9.25,76.75,2020,4,5,28.67,5.39
9.25,77.25,2020,4,5,27.93,4.45
9.75,74.25,2020,4,5,29.47,4.79
9.75,74.75,2020,4,5,29.38,4.79
9.75,75.25,2020,4,5,29.29,5.17
9.75,75.75,2020,4,5,29.5,5.17
9.75,76.25,2020,4,5,30.62,5.39
9.75,76.75,2020,4,5,27.81,5.39
9.75,77.25,2020,4,5,26.54,4.45
10.25,74.25,2020,4,5,29.6,6.32
10.25,74.75,2020,4,5,29.5,6.32
10.25,75.25,2020,4,5,29.44,6.35
10.25,75.75,2020,4,5,29.71,6.35
10.25,76.25,2020,4,5,30.83,5.58
10.25,76.75,2020,4,5,28.49,5.58
10.25,77.25,2020,4,5,27.41,5.41
10.75,74.25,2020,4,5,29.6,6.32
10.75,74.75,2020,4,5,29.53,6.32
10.75,75.25,2020,4,5,29.62,6.35
10.75,75.75,2020,4,5,29.93,6.35
10.75,76.25,2020,4,5,30.28,5.58
10.75,76.75,2020,4,5,29.94,5.58
10.75,77.25,2020,4,5,29.9,5.41
11.25,74.25,2020,4,5,29.48,6.72
11.25,74.75,2020,4,5,29.54,6.72
11.25,75.25,2020,4,5,29.71,6.6
11.25,75.75,2020,4,5,29.74,6.6
11.25,76.25,2020,4,5,28.98,6.47
11.25,76.75,2020,4,5,29.59,6.47
11.25,77.25,2020,4,5,30.66,6.69
11.75,74.25,2020,4,5,29.36,6.72
11.75,74.75,2020,4,5,29.59,6.72
11.75,75.25,2020,4,5,29.6,6.6
11.75,75.75,2020,4,5,29.26,6.6
11.75,76.25,2020,4,5,28.77,6.47
11.75,76.75,2020,4,5,29.44,6.47
11.75,77.25,2020,4,5,30.19,6.69
12.25,74.25,2020,4,5,29.36,6.82
12.25,74.75,2020,4,5,29.72,6.82
12.25,75.25,2020,4,5,29.51,6.42
12.25,75.75,2020,4,5,28.93,6.42
12.25,76.25,2020,4,5,29.26,6.99
12.25,76.75,2020,4,5,30.23,6.99
12.25,77.25,2020,4,5,30.18,7.18
12.75,74.25,2020,4,5,29.47,6.82
12.75,74.75,2020,4,5,29.88,6.82
12.75,75.25,2020,4,5,29.53,6.42
12.75,75.75,2020,4,5,28.79,6.42
12.75,76.25,2020,4,5,29.29,6.99
12.75,76.75,2020,4,5,30.24,6.99
12.75,77.25,2020,4,5,29.93,7.18
8.25,74.25,2020,4,6,29.15,7.08
8.25,74.75,2020,4,6,29.16,7.08
8.25,75.25,2020,4,6,29.08,7.15
8.25,75.75,2020,4,6,28.97,7.15
8.25,76.25,2020,4,6,28.88,7.1
8.25,76.75,2020,4,6,29.03,7.1
8.25,77.25,2020,4,6,29.29,6.19
8.75,74.25,2020,4,6,29.15,7.08
8.75,74.75,2020,4,6,29.16,7.08
8.75,75.25,2020,4,6,29.13,7.15
8.75,75.75,2020,4,6,29.09,7.15
8.75,76.25,2020,4,6,29.09,7.1
8.75,76.75,2020,4,6,28.96,7.1
8.75,77.25,2020,4,6,29.35,6.19
9.25,74.25,2020,4,6,29.12,6.73
9.25,74.75,2020,4,6,29.15,6.73
9.25,75.25,2020,4,6,29.17,6.74
9.25,75.75,2020,4,6,29.25,6.74
9.25,76.25,2020,4,6,29.54,6.77
9.25,76.75,2020,4,6,28.49,6.77
9.25,77.25,2020,4,6,28.84,6.36
9.75,74.25,2020,4,6,29.17,6.73
9.75,74.75,2020,4,6,29.16,6.73
9.75,75.25,2020,4,6,29.18,6.74
9.75,75.75,2020,4,6,29.29,6.74
9.75,76.25,2020,4,6,29.67,6.77
9.75,76.75,2020,4,6,27.61,6.77
9.75,77.25,2020,4,6,27.8,6.36
10.25,74.25,2020,4,6,29.24,4.45
10.25,74.75,2020,4,6,29.21,4.45
10.25,75.25,2020,4,6,29.26,5.43
10.25,75.75,2020,4,6,29.43,5.43
10.25,76.25,2020,4,6,29.73,5.86
10.25,76.75,2020,4,6,27.79,5.86
10.25,77.25,2020,4,6,28.4,6.1
10.75,74.25,2020,4,6,29.27,4.45
10.75,74.75,2020,4,6,29.25,4.45
10.75,75.25,2020,4,6,29.37,5.43
10.75,75.75,2020,4,6,29.5,5.43
10.75,76.25,2020,4,6,29.23,5.86
10.75,76.75,2020,4,6,28.77,5.86
10.75,77.25,2020,4,6,30.31,6.1
11.25,74.25,2020,4,6,29.27,5.08
11.25,74.75,2020,4,6,29.31,5.08
11.25,75.25,2020,4,6,29.34,5.58
11.25,75.75,2020,4,6,29.03,5.58
11.25,76.25,2020,4,6,27.74,5.4
11.25,76.75,2020,4,6,28.28,5.4
11.25,77.25,2020,4,6,30.55,5.65
11.75,74.25,2020,4,6,29.26,5.08
11.75,74.75,2020,4,6,29.35,5.08
11.75,75.25,2020,4,6,29.06,5.58
11.75,75.75,2020,4,6,28.23,5.58
11.75,76.25,2020,4,6,27.03,5.4
11.75,76.75,2020,4,6,27.89,5.4
11.75,77.25,2020,4,6,29.55,5.65
12.25,74.25,2020,4,6,29.23,6.19
12.25,74.75,2020,4,6,29.35,6.19
12.25,75.25,2020,4,6,28.7,6.09
12.25,75.75,2020,4,6,27.55,6.09
12.25,76.25,2020,4,6,27.25,6.13
12.25,76.75,2020,4,6,28.54,6.13
12.25,77.25,2020,4,6,29.22,5.9
12.75,74.25,2020,4,6,29.2,6.19
12.75,74.75,2020,4,6,29.38,6.19
12.75,75.25,2020,4,6,28.57,6.09
12.75,75.75,2020,4,6,27.27,6.09
12.75,76.25,2020,4,6,27.45,6.13
12.75,76.75,2020,4,6,28.89,6.13
12.75,77.25,2020,4,6,29.03,5.9
8.25,74.25,2020,4,7,29.03,5.54
8.25,74.75,2020,4,7,29.01,5.54
8.25,75.25,2020,4,7,28.99,5.08
8.25,75.75,2020,4,7,28.96,5.08
8.25,76.25,2020,4,7,28.91,4.85
8.25,76.75,2020,4,7,28.79,4.85
8.25,77.25,2020,4,7,28.73,5.53
8.75,74.25,2020,4,7,28.97,5.54
8.75,74.75,2020,4,7,28.92,5.54
8.75,75.25,2020,4,7,28.93,5.08
8.75,75.75,2020,4,7,28.96,5.08
8.75,76.25,2020,4,7,28.94,4.85
8.75,76.75,2020,4,7,28.23,4.85
8.75,77.25,2020,4,7,28.16,5.53
9.25,74.25,2020,4,7,28.96,2.69
9.25,74.75,2020,4,7,28.96,2.69
9.25,75.25,2020,4,7,29.01,3.53
9.25,75.75,2020,4,7,29.04,3.53
9.25,76.25,2020,4,7,28.97,4.8
9.25,76.75,2020,4,7,27.23,4.8
9.25,77.25,2020,4,7,27.22,5.28
9.75,74.25,2020,4,7,28.99,2.69
9.75,74.75,2020,4,7,28.99,2.69
9.75,75.25,2020,4,7,29.02,3.53
9.75,75.75,2020,4,7,28.98,3.53
9.75,76.25,2020,4,7,28.71,4.8
9.75,76.75,2020,4,7,25.91,4.8
9.75,77.25,2020,4,7,25.97,5.28
10.25,74.25,2020,4,7,28.94,1.7
10.25,74.75,2020,4,7,28.93,1.7
10.25,75.25,2020,4,7,28.93,2.41
10.25,75.75,2020,4,7,28.8,2.41
10.25,76.25,2020,4,7,28.28,3.27
10.25,76.75,2020,4,7,25.73,3.27
10.25,77.25,2020,4,7,26.18,4.16
10.75,74.25,2020,4,7,28.9,1.7
10.75,74.75,2020,4,7,28.94,1.7
10.75,75.25,2020,4,7,28.87,2.41
10.75,75.75,2020,4,7,28.45,2.41
10.75,76.25,2020,4,7,27.26,3.27
10.75,76.75,2020,4,7,26.07,3.27
10.75,77.25,2020,4,7,27.38,4.16
11.25,74.25,2020,4,7,28.93,4.75
11.25,74.75,2020,4,7,29.06,4.75
11.25,75.25,2020,4,7,28.81,3.27
11.25,75.75,2020,4,7,27.77,3.27
11.25,76.25,2020,4,7,25.54,3.52
11.25,76.75,2020,4,7,25.05,3.52
11.25,77.25,2020,4,7,27.19,3.6
11.75,74.25,2020,4,7,28.98,4.75
11.75,74.75,2020,4,7,29.17,4.75
11.75,75.25,2020,4,7,28.56,3.27
11.75,75.75,2020,4,7,26.89,3.27
11.75,76.25,2020,4,7,24.56,3.52
11.75,76.75,2020,4,7,24.25,3.52
11.75,77.25,2020,4,7,26,3.6
12.25,74.25,2020,4,7,29.02,5.59
12.25,74.75,2020,4,7,29.2,5.59
12.25,75.25,2020,4,7,28.25,5.08
12.25,75.75,2020,4,7,26.25,5.08
12.25,76.25,2020,4,7,24.64,4.14
12.25,76.75,2020,4,7,24.75,4.14
12.25,77.25,2020,4,7,25.36,4.25
12.75,74.25,2020,4,7,29.09,5.59
12.75,74.75,2020,4,7,29.24,5.59
12.75,75.25,2020,4,7,28.05,5.08
12.75,75.75,2020,4,7,25.86,5.08
12.75,76.25,2020,4,7,24.6,4.14
12.75,76.75,2020,4,7,25.01,4.14
12.75,77.25,2020,4,7,25.02,4.25
8.25,74.25,2020,4,8,28.99,6.95
8.25,74.75,2020,4,8,28.97,6.95
8.25,75.25,2020,4,8,28.98,6.97
8.25,75.75,2020,4,8,28.93,6.97
8.25,76.25,2020,4,8,28.82,6.89
8.25,76.75,2020,4,8,28.75,6.89
8.25,77.25,2020,4,8,29,6.05
8.75,74.25,2020,4,8,29.05,6.95
8.75,74.75,2020,4,8,29.03,6.95
8.75,75.25,2020,4,8,29.02,6.97
8.75,75.75,2020,4,8,28.94,6.97
8.75,76.25,2020,4,8,28.84,6.89
8.75,76.75,2020,4,8,28.28,6.89
8.75,77.25,2020,4,8,28.45,6.05
9.25,74.25,2020,4,8,29.04,6.48
9.25,74.75,2020,4,8,29.02,6.48
9.25,75.25,2020,4,8,29.04,6.62
9.25,75.75,2020,4,8,29.05,6.62
9.25,76.25,2020,4,8,29.06,6.62
9.25,76.75,2020,4,8,27.6,6.62
9.25,77.25,2020,4,8,27.68,5.22
9.75,74.25,2020,4,8,29.09,6.48
9.75,74.75,2020,4,8,29.06,6.48
9.75,75.25,2020,4,8,29.06,6.62
9.75,75.75,2020,4,8,29.04,6.62
9.75,76.25,2020,4,8,28.98,6.62
9.75,76.75,2020,4,8,26.46,6.62
9.75,77.25,2020,4,8,26.56,5.22
10.25,74.25,2020,4,8,29.18,6.52
10.25,74.75,2020,4,8,29.14,6.52
10.25,75.25,2020,4,8,29.14,6.42
10.25,75.75,2020,4,8,29.12,6.42
10.25,76.25,2020,4,8,28.98,5.91
10.25,76.75,2020,4,8,26.61,5.91
10.25,77.25,2020,4,8,26.94,5.59
10.75,74.25,2020,4,8,29.29,6.52
10.75,74.75,2020,4,8,29.26,6.52
10.75,75.25,2020,4,8,29.3,6.42
10.75,75.75,2020,4,8,29.24,6.42
10.75,76.25,2020,4,8,28.59,5.91
10.75,76.75,2020,4,8,27.75,5.91
10.75,77.25,2020,4,8,28.79,5.59
11.25,74.25,2020,4,8,29.37,6.15
11.25,74.75,2020,4,8,29.4,6.15
11.25,75.25,2020,4,8,29.36,6.54
11.25,75.75,2020,4,8,28.91,6.54
